3.6	4.43911e-08	4.73979e-08	9.1789e-08	0	5.37173e-10	2.17931e-09	2.71648e-09	1.6083e-09	1.8388e-09	3.4471e-09	4.2455e-07	1.68957e-09	4.26239e-07	1.44074e-07
3.7	4.85186e-08	5.0913e-08	9.94316e-08	0	4.76011e-10	1.87498e-09	2.35099e-09	1.43287e-09	1.53678e-09	2.96965e-09	4.57642e-07	1.4037e-09	4.59045e-07	1.52832e-07
3.8	5.32374e-08	5.46823e-08	1.0792e-07	0	4.24233e-10	1.62681e-09	2.05105e-09	1.283e-09	1.30046e-09	2.58346e-09	4.93975e-07	1.18227e-09	4.95157e-07	1.62007e-07
3.9	5.86782e-08	5.87216e-08	1.174e-07	0	3.80052e-10	1.42231e-09	1.80236e-09	1.15409e-09	1.11262e-09	2.26671e-09	5.33958e-07	1.00767e-09	5.34966e-07	1.71619e-07
4	6.50107e-08	6.30473e-08	1.28058e-07	0	3.42079e-10	1.25214e-09	1.59422e-09	1.04252e-09	9.61178e-10	2.0037e-09	5.78054e-07	8.67817e-10	5.78922e-07	1.81688e-07
4.1	7.24588e-08	6.76774e-08	1.40136e-07	0	3.09228e-10	1.10926e-09	1.41849e-09	9.45414e-10	8.37505e-10	1.78292e-09	6.26786e-07	7.54214e-10	6.2754e-07	1.92234e-07
4.2	8.13224e-08	7.26309e-08	1.53953e-07	0	2.80636e-10	9.88308e-10	1.26894e-09	8.60437e-10	7.35345e-10	1.59578e-09	6.80745e-07	6.60788e-10	6.81406e-07	2.03282e-07
4.3	9.20102e-08	7.7928e-08	1.69938e-07	0	2.55615e-10	8.8513e-10	1.14074e-09	7.8571e-10	6.50079e-10	1.43579e-09	7.40592e-07	5.83102e-10	7.41175e-07	2.14856e-07
4.4	1.05089e-07	8.35906e-08	1.8868e-07	0	2.33606e-10	7.96498e-10	1.0301e-09	7.19697e-10	5.78246e-10	1.29794e-09	8.07059e-07	5.1786e-10	8.07577e-07	2.26982e-07
4.5	1.21361e-07	8.96418e-08	2.11002e-07	0	2.14156e-10	7.19869e-10	9.34024e-10	6.61132e-10	5.17215e-10	1.17835e-09	8.80948e-07	4.6258e-10	8.81411e-07	2.39687e-07
4.6	1.41979e-07	9.61068e-08	2.38086e-07	0	1.96892e-10	6.53222e-10	8.50114e-10	6.08969e-10	4.64963e-10	1.07393e-09	9.63118e-07	4.15361e-10	9.63533e-07	2.53002e-07
